Word,Documents
negócios,"[(3, 1), (11, 2), (15, 1), (62, 3)]"
fim,"[(3, 1), (6, 1), (8, 1), (35, 1), (61, 1), (62, 1), (63, 2)]"
semana,"[(3, 2), (5, 1), (6, 1), (8, 3), (18, 1), (23, 1), (27, 1), (34, 1), (51, 2), (66, 2), (67, 1), (70, 1)]"
havia,"[(3, 1), (5, 4), (34, 1), (38, 1), (47, 1), (55, 1), (62, 1), (67, 1)]"
levantado,"[(3, 1)]"
ideia,"[(3, 1), (12, 2), (33, 1), (38, 1), (54, 2), (56, 1), (60, 2)]"
publicação,"[(3, 1), (8, 1), (56, 1)]"
twitter,"[(3, 1), (28, 1), (50, 2), (54, 1), (60, 3), (62, 2), (63, 1), (70, 1), (71, 1)]"
passada,"[(3, 1), (5, 1), (8, 2), (18, 1), (23, 1), (27, 1), (51, 2), (70, 1)]"
estuda,"[(3, 1)]"
tributar,"[(3, 1)]"
lucros,"[(3, 1)]"
dividendos,"[(3, 1)]"
forma,"[(3, 1), (6, 1), (12, 1), (33, 1), (34, 1), (35, 1), (38, 3), (63, 1)]"
compensar,"[(3, 1), (66, 1)]"
eduardo,"[(3, 1), (34, 3), (62, 1), (63, 1), (70, 1)]"
simões,"[(3, 1)]"
produção,"[(4, 5), (29, 1), (30, 1), (32, 4), (38, 1), (44, 1)]"
veículos,"[(4, 4), (20, 1)]"
montados,"[(4, 1)]"
unidades,"[(4, 2), (25, 1)]"
março,"[(4, 8), (5, 1), (6, 1), (8, 3), (9, 7), (10, 6), (12, 2), (20, 1), (23, 1), (37, 2), (38, 1), (45, 1), (51, 2), (56, 2), (59, 1), (70, 2)]"
queda,"[(4, 2), (6, 2), (8, 2), (9, 2), (10, 1)]"
comparação,"[(4, 6), (10, 1), (32, 1)]"
conforme,"[(4, 1), (30, 1)]"
